// KA1,KA2,KB1,KB2,KB3,KB4,KB5,L3-N2,L3-N3,L3-O2,L3-O3,L3-P1,LA1-M5,LA2-M4,LB15-N4,LB2-N5,LB5-O4_O5,LB6-N1,LB7-O1,Ll-M1,Ls-M3,Lt-M2,Lu-N4_N7,L2-M2,L2-M5,L2-N2,L2-N3,L2-N5,L2-O2,L2-O3,L2-P2,LB1-M4,LB17-M3,LG1-N4,LG5-N1,LG6-O4,LG8-O1,Ln,Lv-N6,L1-M1,L1-N1,L1-N4,L1-O1,L1-O4,LB10-M4,LB3-M3,LB4-M2,LB9-M5,LG2-N2,LG11-N5,LG3-N3,LG4-O3,LG4`-O2,M1-N2,M1-N3,M2-M4,M2-N1,M2-N4,M2-O4,M3-M4,M3-M5,M3-N1,M3-N4,M3-O1,M3-O4,M3-O5,MG-N5,M4-N3,M4-O2,MB-N6,MZ2-N2,M5-O3,MA1-N7,MA2-N6,MZ1-N3,N4-N6,N5-N6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54.3,54.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108.5,108.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185.05,185.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281.77,281.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
392.3,392.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522.95,522.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
677.24,677.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
848.31,848.31,857.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1041.1,1041.1,1067.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1253.7,1253.7,1295.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1486.9,1486.5,1553,0,1553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1740,1739,1829,0,1829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,2012,2136,0,2136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2307,2306,2464,0,2464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2622,2620,2815,0,2815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2957,2955,3190,0,3190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3313,3310,3589,0,3589,0,3602.7,0,0,0,0,0,0,0,0,0,0,0,0,259.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3691,3686.9,4011.9,0,4011.9,0,4033,0,0,0,0,0,340.67,340.67,0,0,0,0,0,302.08,0,0,0,0,0,0,0,0,0,0,0,344.18,0,0,0,0,0,305.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4090,4085,4460.1,0,4460.1,0,4486.1,0,0,0,0,0,395,395,0,0,0,0,0,348,0,0,0,0,0,0,0,0,0,0,0,400,379,0,400,0,0,353,0,0,0,0,0,0,0,458,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4510,4504,4931,0,4931,0,4961,0,0,0,0,0,452,452,0,0,0,0,0,395,0,0,0,0,0,0,0,0,0,0,0,458,431,0,458,0,0,401,0,0,0,0,0,0,0,519,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4950.9,4944,5426.1,0,5426.1,0,5462,0,0,0,0,0,511,511,0,0,0,0,0,446,0,0,0,0,0,0,0,0,0,0,0,519,487,0,519,0,0,453,0,0,0,0,0,0,0,585,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5414,5405,5946,0,5946,0,5986,0,0,0,0,0,573,573,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,583,547,0,583,0,0,510,0,0,0,0,0,0,0,654,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5898,5887,6489.1,0,6489.1,0,6533.9,0,0,0,0,0,637,637,0,0,0,0,0,556,0,0,0,0,0,0,0,0,0,0,0,649,610,0,648.99,0,0,567,0,0,0,0,0,0,0,721,721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6403,6390.1,7056.8,0,7056.8,0,7107,0,0,0,0,0,705,705,0,0,0,0,0,615,0,0,0,0,0,0,0,0,0,0,0,718,676,0,718,0,0,627.99,0,0,0,0,0,0,0,792,792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6929,6914,7648,0,7648,0,7705,0,0,0,0,0,776,776,0,0,0,0,0,678,0,0,0,0,0,0,0,0,0,0,0,791,746,0,790.99,0,0,693.99,0,0,0,0,0,0,0,866,866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7476.8,7460.2,8263.2,8328.7,8263.2,0,8327,0,0,0,0,0,851,851,0,0,0,0,0,743,0,0,0,0,0,0,0,0,0,0,0,869,820,0,869.99,0,0,761.99,0,0,0,0,0,0,0,941,941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8046,8026.2,8904.1,8977.7,8904.1,0,8976.3,0,0,0,0,0,930,930,0,0,0,0,0,811,0,0,0,0,0,0,0,0,0,0,0,950,896,0,952.99,0,0,831.99,0,0,0,0,0,0,0,1023,1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8636.8,8614,9570.1,9658.2,9570.1,0,9648.3,0,0,0,0,0,1012,1012,0,0,0,0,0,884,0,0,0,0,0,0,0,0,0,0,0,1034,977,0,1039,0,0,906,0,0,0,0,0,0,0,1107,1107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9250.2,9222.7,10263,10365,10259,0,10346,0,0,0,0,0,1098,1098,0,0,0,0,0,957,0,0,0,0,0,0,1133,0,0,0,0,1125,1064,0,1130,0,0,983.99,0,0,0,0,0,0,0,1197,1197,0,1279.1,0,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9885.3,9853.8,10980,11099,10976,0,11073,0,0,0,0,0,1188,1188,0,0,0,0,0,1036,0,0,0,0,0,0,1227,0,0,0,0,1218,1154,0,1224,0,0,1068,0,0,0,0,0,0,0,1294,1286,0,1395.1,0,1395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10542,10506,11724,11862,11718,0,11819,0,0,0,0,0,1282,1282,0,0,0,0,0,1120,0,0,0,0,0,0,1340,0,0,0,0,1317,1249,0,1336,0,0,1155,0,0,0,0,0,0,0,1388,1388,0,1516.1,0,1516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11220,11179,12494,12650,12487,0,12595,0,0,0,0,0,1379,1379,0,0,0,0,0,1204,0,0,0,0,0,0,1458,0,0,0,0,1419,1347,0,1453,0,0,1244,0,0,0,0,0,0,0,1490,1490,0,1642.1,0,1642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11922,11876,13288,13467,13281,0,13402,0,0,0,0,0,1480,1480,0,0,0,0,0,1293,0,0,0,0,0,0,1581,0,0,0,0,1526,1449,0,1575,0,0,1339,0,0,0,0,0,0,0,1596,1596,0,1773.1,0,1773,0,0,0,0,0,161.22,0,0,0,0,155.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12649,12596,14110,14312,14102,14329,14234,0,0,0,0,0,1586,1586,0,0,0,0,0,1385,0,0,0,0,0,0,1710,0,0,0,0,1636,1554,0,1703,0,0,1438,0,0,0,0,0,0,0,1706,1697,0,1909.1,0,1909,0,0,0,0,0,190.37,0,0,0,0,182.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13393,13333,14959,15185,14948,15208,15085,0,0,0,0,0,1694,1692,0,0,0,0,1805,1482,0,0,0,0,0,0,1843,0,0,0,0,1752,1664,0,1835,0,1860,1542,0,0,0,0,0,0,0,1826,1817,0,2050.7,0,2050,0,0,0,0,135.5,217.51,0,0,128.2,0,208.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14163,14095,15837,16086,15826,16105,15969,0,0,0,0,0,1806,1804,0,0,0,0,1939,1582,0,0,0,0,0,0,1980,0,0,0,0,1871,1776,0,1969,0,2002,1649,0,0,0,0,0,0,0,1947,1936,0,2196.5,0,2196,0,0,0,0,144.67,241.68,0,0,135.65,0,231.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14955,14880,16739,17012,16727,17038,16880,0,0,0,0,0,1922,1920,0,2075,0,0,2078,1685,0,0,0,0,0,0,2124,0,0,0,0,1995,1893,2144,2110,0,2144,1761,0,0,0,0,0,0,0,2074,2062,0,2346.8,2056.5,2346,0,0,0,0,152.12,266.74,0,0,143.33,0,255.63,0,0,0,0,0,0,0,0,132.46,0,0,0,132.46,0,0
15776,15692,17668,17971,17656,17995,17816,0,0,0,0,0,2042,2040,0,2219,0,0,2222,1792,0,0,0,0,0,0,2272,0,0,0,0,2124,2014,2302,2255,0,2302,1876,0,0,0,0,0,0,0,2201,2187,0,2502.9,2224.2,2502,0,0,0,0,161.64,293.33,0,0,150.99,153.25,280.01,0,0,0,0,0,0,177.11,0,151.73,0,0,0,151.73,0,0
16617,16522,18623,18954,18606,18983,18784,0,0,0,0,0,2166,2163,0,2367,0,0,2370,1902,0,0,0,0,0,0,2425,0,0,0,0,2257,2143,2461,2406,0,2459,1996,0,0,0,0,0,0,0,2334,2319,0,2663.8,2398.2,2663,0,0,0,0,171.96,322.86,374.56,0,158.52,158.14,304.62,0,0,0,0,355.24,0,200.29,0,171.89,0,0,0,171.89,0,0
17481,17376,19609,19966,19593,19999,19778,0,0,0,0,0,2293,2289,0,2518,0,0,2519,2015,0,0,0,0,0,0,2583,0,0,0,0,2394,2276,2623,2563,0,2623,2120,0,0,0,0,0,0,0,2473,2455,0,2830.6,2579.1,2829.9,0,0,0,0,179.94,351.22,411.93,0,165.97,165.53,330.61,0,0,0,0,390.74,0,226.24,0,192.67,0,0,0,192.67,0,0
18368,18251,20619,21007,20598,21007,20791,0,0,0,0,0,2424,2419,0,2674,0,0,2676,2131,0,0,0,0,0,0,2748,0,0,0,0,2536,2414,2790,2724,0,2789,2249,0,0,0,0,0,0,0,2615,2596,0,0,2766.1,3002,0,0,0,0,189.2,380.95,449.18,0,173.62,173.57,358.7,0,0,0,0,426.02,0,251.49,0,214.43,0,0,0,214.42,0,0
19282,19150,21658,22075,21635,22107,21834,0,0,0,0,0,2558,2554,0,2835,0,0,2836,2252,0,0,0,0,0,0,2919,0,0,0,0,2683,2555,2964.5,2891,0,2961,2382,0,0,0,0,0,0,0,2763,2741,0,3180.9,2960.2,3180,0,0,0,0,199.32,411.22,486.2,0,181.42,181.52,387.65,0,0,0,0,460.89,0,276.74,0,236.97,0,0,0,236.97,0,0
20217,20073,22724,23171,22699,23218,22917,0,0,0,0,0,2696,2692,0,3001,0,0,3002,2376,0,0,0,0,0,0,3095,0,0,0,0,2834,2701,3143.8,3064,0,3137.9,2519,0,0,0,0,0,0,0,2915,2890,0,3364,3160.8,3363,0,0,0,0,209.07,441.21,523.13,0,0,189.28,416.04,0,0,0,0,495.72,0,303.13,0,260.52,0,0,0,260.52,0,0
21180,21021,23817,24299,23790,24343,23997,0,0,0,0,0,2838,2833,0,3171,0,0,3172,2503,0,0,0,0,0,0,3278,0,0,0,0,2990,2850,3328,3243,0,3319.9,2660,0,0,0,0,0,0,3263.8,3072,3045,0,3553.3,3367.1,3552.9,0,0,0,0,219.43,473.21,561,0,0,197.11,444.37,0,0,0,0,532.1,0,331.5,0,285.93,0,0,0,285.93,0,0
22166,21993,24946,25459,24916,25512,25149,0,0,0,0,0,2984,2978,0,3347,0,0,3350,2633,0,0,0,0,0,0,3466,0,0,0,0,3150,3004,3519,3428,0,3515,2806,0,0,0,0,0,0,3433,3234,3203,0,3743.2,3580.8,3749,0,0,0,0,229.59,504.38,600.1,0,0,204.93,476.85,0,0,0,0,568.19,0,370.09,0,311.59,0,0,0,311.59,0,0
23175,22986,26098,26643,26065,26710,26320,0,0,0,0,0,3133,3126,0,3528,0,0,3535.9,2767,0,0,0,0,0,0,3660,0,0,0,0,3316,3161,3716,3619,0,3716,2956,0,0,0,0,0,0,3607.7,3401,3367,0,3951.3,3800.8,3950.9,0,0,0,0,238.42,541.4,639.07,0,0,211.21,506.04,0,0,0,0,605.67,0,407.83,0,338.19,402.53,0,0,338.19,0,0
24209,24002,27278,27861,27242,27930,27502,0,0,0,0,0,3286,3279,0,3713,0,0,3729,2904,0,0,0,0,0,0,3861,0,0,0,0,3487,3323,3920,3815,0,3921.9,3111.9,0,0,0,0,0,0,3786.8,3572,3535,0,4160.5,4027.2,4160,4236.1,0,0,0,249.55,580.66,684.82,0,0,219.43,539.65,0,0,0,0,647.85,0,447.55,0,367.41,441.99,0,0,367.4,0,0
25272,25047,28490,29113,28444,29175,28715,0,0,0,0,0,3443,3435,0,3904.1,0,0,3927.1,3044,0,0,0,0,0,0,4068,0,0,0,0,3662,3489,4129.9,4018,0,4135,3271.9,0,0,0,0,0,0,3971.6,3750,3708,0,4376.8,4260.8,4376,4463,0,0,0,262.11,619.9,732.31,0,0,228.75,576.65,0,0,0,0,691.08,0,490.04,0,397.76,482.41,0,0,397.76,0,0
26359,26115,29729,30393,29679,30461,29966,0,0,0,0,0,3604,3595,0,4100,0,0,4125,3188,0,0,0,0,0,0,4281,0,0,0,0,3842.9,3666,4347,4227.9,0,4365,3436,0,0,0,0,0,0,4161.8,3932,3885.9,0,4599.9,4500.2,4599,4696.1,0,0,0,274.29,659.47,775.84,0,0,237.51,613.76,0,0,0,0,732.74,0,534.6,0,428.85,524.69,0,0,428.85,0,0
27471,27206,30995,31702,30948,31781,31256,0,0,0,0,0,3769,3758,0,4301,0,0,4328.9,3335,0,0,0,0,0,0,4501,0,0,0,0,4029,3848,4570.1,4442.9,0,4600.9,3605,0,0,0,0,0,0,4355.2,4120.1,4069,0,4829,4746.2,4827.9,4935.9,0,0,0,0,704.43,820.17,0,0,246.48,649.11,0,0,0,0,778.28,0,580.97,0,464.35,569.24,0,0,464.35,0,0
28615,28320,32297,33042,32238,33129,32574,0,0,0,0,0,3937,3924.9,0,4506.9,0,0,4542.9,3484,0,0,0,0,0,0,4727.9,0,0,0,0,4220.1,4035.1,4800.1,4664.9,0,4843.9,3780,0,0,0,0,0,0,4556.6,4313,4257,0,5065.7,4999.2,5065,5184,0,0,0,0,751.01,866.65,0,0,0,685.15,0,0,0,0,824.62,0,629.13,0,500.88,616.33,0,0,498.23,0,0
29779,29458,33624,34415,33563,34509,33921,0,0,0,0,0,4109,4096,0,4718.1,0,0,4763,3637,0,0,0,0,0,0,4960,0,0,0,0,4417,4226,5036,4893,0,5092,3958,0,0,0,0,0,0,4763.2,4512,4450,0,0,5258.6,5304.9,5439,0,0,0,0,797.91,915.32,0,0,0,722.47,0,0,0,0,871.55,0,678.54,0,537.36,665.24,0,0,530.53,0,0
30971,30626,34992,35823,34923,35921,35288,0,0,0,0,0,4286,4272,0,4935,0,0,4989,3794,0,0,0,0,0,0,5199.9,0,0,0,0,4618.9,4420.9,5278.9,5128,0,5347.9,4140.9,0,0,0,0,0,0,4975.9,4716.1,4649.1,0,5542,5526,5551.9,5702.1,0,0,0,0,845.26,966.16,0,0,0,761.12,0,0,0,0,920.38,0,728.75,0,573.86,715.18,0,0,563.49,0,0
32196,31816,36381,37257,36306,37363,36672,0,0,0,0,0,4465,4450,0,5156,0,0,5207.1,3953,0,0,0,0,0,0,5447.1,0,0,0,0,4827,4621,5529.9,5369.9,0,5600.8,4330,0,0,0,0,0,0,5195.1,4925.9,4851,0,5796.9,5796.8,5807.8,5972.1,0,0,0,0,893.17,1019.1,0,0,0,800.96,0,0,0,0,972.39,0,779.26,0,610.47,765.31,0,0,599.23,0,0
33441,33039,37804,38726,37723,38836,38083,0,0,0,0,0,4649.9,4633.1,0,5383,5467,0,5449,4118.6,0,0,0,0,0,0,5701.1,0,0,0,0,5040.9,4824.9,5788.1,5619.9,5865,5860,4524,0,0,0,0,0,0,5414.9,5142.9,5061.1,0,6060,6076,6073,6250.9,0,0,0,0,941.71,1074.3,0,0,0,841.99,0,0,0,0,1026.3,0,829.68,855.04,647.28,814.96,833.21,833.21,638.09,0,0
34717,34284,39255,40225,39168,40343,39556,0,0,0,0,0,4839,4821.9,0,5612,5705,0,5685.1,4287,0,0,5712.8,0,0,0,5960.1,0,0,0,0,5261,5033.9,6051.1,5873.9,6141,6124.9,4731,6141,0,0,0,0,0,5648,5363.9,5276,0,6325,6362.2,6340.1,6527,0,0,0,0,991.02,1131.6,0,0,0,884.23,0,0,0,0,1075.3,0,880.07,901.68,684.37,864.2,881.9,881.9,674.54,0,0
36031,35555,40755,41759,40661,41887,41060,0,0,0,0,0,5032.9,5013,0,5849,5948.9,0,5925.9,4456.3,0,0,5954,0,0,0,6226.1,0,0,0,0,5488.1,5247,6321,6134.9,6421.8,6401.9,4934.9,6421.8,0,0,0,0,0,5884.9,5591,5497.1,0,6598,6653.8,6615.1,6814,0,0,0,0,1041.2,1191,0,0,0,927.52,0,0,0,0,1127.3,0,930.59,949.32,721.83,913.21,929.18,929.18,711.54,0,0
37358,36847,42272,43308,42171,43467,42586,0,0,0,0,0,5229.1,5207.1,0,6087.9,6198.1,0,6170.1,4632,0,0,6200.9,0,0,0,6502,0,0,0,0,5721.1,5465.1,6601.1,6404.9,6710,6682.1,5145,6708.9,0,0,0,0,0,6128,5828.1,5721.1,0,6883,6952.3,6900,7106.2,0,0,0,0,1092.4,1252.3,0,0,0,971.86,0,0,0,0,1180.2,0,981.41,996.63,759.74,962.22,978.11,978.11,750.07,0,0
